BBLCOUNT        1.0         0
0x7fffe3418ea0 1 7 37
0x7fffe3418ec5 0 3 15
0x7fffe3418ed4 0 5 22
0x7fffe3418ef0 1 2 8
0x7fffe3418ef8 1 3 16
0x7fffe3418f08 1 1 1
0x7fffe33fde10 1 10 60
0x7fffe33fca20 1 5 27
0x7fffe33fca3b 0 3 11
0x7fffe33fca46 0 3 16
0x7fffe33fca6b 1 1 1
0x7fffe33fc600 1 6 29
0x7fffe33fc61d 1 4 23
0x7fffe33fc634 1 2 5
0x7fffe33fb890 1 8 50
0x7fffe33fb8c2 0 3 11
0x7fffe33fb8cd 0 3 16
0x7fffe33fb350 1 8 50
0x7fffe33fb2b2 0 5 26
0x7fffe33fb2cb 2 1 1
0x7fffe33fb7b0 1 10 60
0x7fffe3404d20 1 10 60
0x7fffe33fc9d0 1 5 27
0x7fffe33fc9eb 0 3 11
0x7fffe33fc9f6 0 3 16
0x7fffe33fca1b 1 1 1
0x7fffe33fc550 1 10 60
0x7fffe3418ab0 1 10 60
0x7fffe33fbc60 1 7 34
0x7fffe33fc8d0 1 8 50
0x7fffe33fc902 0 3 16
0x7fffe33fc912 0 5 23
0x7fffe33fc928 2 1 1
0x7fffe33fc870 1 8 50
0x7fffe33fc8a2 0 3 16
0x7fffe33fc8b2 0 5 23
0x7fffe33fc8c8 1 1 1
0x7fffe33fb2d0 1 8 50
0x7fffe33fb302 0 3 16
0x7fffe33fb312 0 5 23
0x7fffe3489750 1 6 29
0x7fffe348976d 1 4 23
0x7fffe3489784 1 2 5
0x7fffe3489789 1 5 23
0x7fffe33fcad0 1 6 29
0x7fffe33fcaed 1 4 23
0x7fffe33fcb04 1 2 5
0x7fffe33fc8d0 1 8 50
0x7fffe33fc902 0 3 16
0x7fffe33fc912 0 5 23
0x7fffe33fc760 1 6 29
0x7fffe33fc77d 1 4 23
0x7fffe33fc794 1 2 5
0x7fffe33fc600 1 6 29
0x7fffe33fc61d 1 4 23
0x7fffe33fc634 1 2 5
0x7fffe33fb382 0 3 16
0x7fffe33fb392 0 5 23
0x7fffe33fb7b0 1 10 60
0x7fffe33fb280 1 8 50
0x7fffe33fb2b2 0 5 26
0x7fffe33fb960 1 10 60
0x7fffe342d090 1 5 27
0x7fffe342d0ab 1 20 110
0x7fffe342d119 1 5 12
0x7fffe342d125 1 2 7
0x7fffe342d12c 1 2 5
0x7fffe342d131 1 6 23
0x7fffe33fc6c0 1 6 29
0x7fffe33fc6dd 1 4 23
0x7fffe33fc6f4 1 4 17
0x7fffe33fbc60 1 7 34
0x7fffe33fc590 1 7 37
0x7fffe33fc5b5 0 3 15
0x7fffe33fc5c4 0 5 22
0x7fffe33fc799 2 5 23
0x7fffe33fc794 1 2 5
0x7fffe33fc77d 1 4 23
0x7fffe33fc760 1 6 29
0x7fffe34189a0 1 10 60
0x7fffe3418e60 2 10 60
0x7fffe33fddd0 1 10 60
0x7fffe33fb960 1 10 60
