BBLCOUNT        1.0         0
0x7fffe328a9a0 1 10 60
0x7fffe326e760 1 6 29
0x7fffe326e77d 1 4 23
0x7fffe326e794 1 2 5
0x7fffe326e799 2 5 23
0x7fffe326e590 1 7 37
0x7fffe326e5b5 0 3 15
0x7fffe326e5c4 0 5 22
0x7fffe326e5e0 2 2 8
0x7fffe326e5e8 2 3 16
0x7fffe326e5f8 2 1 1
0x7fffe326d890 1 8 50
0x7fffe326d8c2 0 3 11
0x7fffe326d8cd 0 3 16
0x7fffe326d8f2 2 1 1
0x7fffe326d2d0 1 8 50
0x7fffe326d302 0 3 16
0x7fffe326d312 0 5 23
0x7fffe326d328 2 1 1
0x7fffe326e6c0 1 6 29
0x7fffe326e6dd 1 4 23
0x7fffe326e6f4 1 4 17
0x7fffe326e705 2 5 21
0x7fffe328a960 2 10 60
0x7fffe326d2b2 0 5 26
0x7fffe326d7f0 2 10 60
0x7fffe326d3b0 1 7 34
0x7fffe326e980 1 5 27
0x7fffe326d280 1 8 50
0x7fffe326e6f4 1 4 17
0x7fffe326e6dd 1 4 23
0x7fffe326e6c0 1 6 29
0x7fffe329f131 1 6 23
0x7fffe329f12c 1 2 5
0x7fffe329f125 1 2 7
0x7fffe329f119 1 5 12
0x7fffe329f0ab 1 20 110
0x7fffe329f090 1 5 27
0x7fffe326d960 1 10 60
0x7fffe326e600 1 6 29
0x7fffe326e61d 1 4 23
0x7fffe326e634 1 2 5
0x7fffe326e639 3 5 23
0x7fffe326d900 1 8 50
0x7fffe326d932 0 3 16
0x7fffe326d942 0 5 23
0x7fffe326d958 1 1 1
0x7fffe326e930 1 5 27
0x7fffe326e94b 0 3 11
0x7fffe326e956 0 3 16
0x7fffe326e97b 1 1 1
0x7fffe326d220 1 8 50
0x7fffe326d252 0 3 16
0x7fffe326d262 0 5 23
0x7fffe326d278 1 1 1
0x7fffe326d960 1 10 60
0x7fffe326fdd0 1 10 60
0x7fffe328ae60 2 10 60
0x7fffe326e9d0 1 5 27
0x7fffe326e9eb 0 3 11
0x7fffe326e9f6 0 3 16
0x7fffe326ea1b 1 1 1
0x7fffe326e550 1 10 60
0x7fffe328aab0 1 10 60
0x7fffe326dc60 1 7 34
0x7fffe326e8d0 1 8 50
0x7fffe326e902 0 3 16
0x7fffe326e912 0 5 23
0x7fffe326e928 2 1 1
0x7fffe326e870 1 8 50
0x7fffe326e8a2 0 3 16
0x7fffe326e8b2 0 5 23
0x7fffe326e8c8 1 1 1
0x7fffe328aea0 1 7 37
0x7fffe328aec5 0 3 15
0x7fffe328aed4 0 5 22
0x7fffe328aef0 1 2 8
0x7fffe328aef8 1 3 16
0x7fffe328af08 1 1 1
0x7fffe326fe10 1 10 60
0x7fffe326ea20 1 5 27
0x7fffe326e634 1 2 5
0x7fffe326e61d 1 4 23
0x7fffe326e600 1 6 29
0x7fffe326ea6b 1 1 1
0x7fffe326ea46 0 3 16
0x7fffe326ea3b 0 3 11
0x7fffe326e99b 0 3 11
0x7fffe326e9a6 0 3 16
0x7fffe326e9cb 1 1 1
0x7fffe326d350 1 8 50
0x7fffe326d382 0 3 16
0x7fffe326d392 0 5 23
0x7fffe326d3a8 2 1 1
0x7fffe326d7b0 1 10 60
0x7fffe326d392 0 5 23
0x7fffe326d382 0 3 16
0x7fffe326d350 1 8 50
0x7fffe326d8cd 0 3 16
0x7fffe326d8c2 0 3 11
0x7fffe326ead0 1 6 29
0x7fffe326eaed 1 4 23
0x7fffe326eb04 1 2 5
0x7fffe326eb09 2 5 23
0x7fffe328c0d0 1 8 50
0x7fffe328c102 0 5 23
0x7fffe328c118 1 1 1
0x7fffe328af30 2 9 53
0x7fffe328af65 2 8 39
0x7fffe328a9e0 1 7 34
0x7fffe326d9a0 1 7 34
0x7fffe326d280 1 8 50
0x7fffe326d2b2 0 5 26
0x7fffe326d2cb 2 1 1
0x7fffe326d7b0 1 10 60
0x7fffe3276d20 1 10 60
0x7fffe326ead0 1 6 29
0x7fffe326eaed 1 4 23
0x7fffe326eb04 1 2 5
0x7fffe326e8d0 1 8 50
0x7fffe326e902 0 3 16
0x7fffe326e912 0 5 23
0x7fffe326e760 1 6 29
0x7fffe326e77d 1 4 23
0x7fffe326e794 1 2 5
0x7fffe326e600 1 6 29
0x7fffe326d890 1 8 50
0x7fffe326e61d 1 4 23
0x7fffe326e634 1 2 5
0x7fffe326dc60 1 7 34
0x7fffe326e590 1 7 37
0x7fffe326e5b5 0 3 15
0x7fffe326e5c4 0 5 22
0x7fffe326d2d0 1 8 50
0x7fffe326d302 0 3 16
0x7fffe326d312 0 5 23
0x7fffe32fb8e0 1 6 29
0x7fffe32fb8fd 1 4 23
0x7fffe32fb914 1 2 5
0x7fffe32fb919 1 5 23
0x555555558000 1 5 20
0x555555558014 0 1 2
0x555555558016 1 2 5
0x5555555586f0 1 2 11
0x5555555586e0 12 2 11
0x5555555586d0 4 2 11
0x555555558bd0 4 2 11
0x555555558860 2 2 11
0x555555558be0 1 2 11
0x555555558710 9 2 11
0x555555558ca0 1 2 11
0x555555558850 1 2 11
0x555555558890 1 2 11
0x5555555588c0 21 2 11
0x5555555589f0 1 2 11
0x555555558b70 2 2 11
0x555555558d80 8 2 11
0x5555555587c0 1 2 11
0x555555558bc0 4 2 11
0x555555558a20 1 2 11
0x555555558b20 2 2 11
0x555555558ae0 9 2 11
0x5555555587b0 2 2 11
0x555555558760 12 2 11
0x555555558b50 7 2 11
0x555555558ba0 5 2 11
0x555555558870 1 2 11
0x555555558960 1 2 11
0x555555558c00 1 2 11
0x5555555588f0 1 2 11
0x555555558a40 1 2 11
0x555555558950 7 2 11
0x5555555588b0 12 2 11
0x555555559cfd 1 2 13
0x555555559d0a 1 4 19
0x55555555ae80 1 10 29
0x55555555ae9d 1 3 8
0x55555555aea5 0 2 8
0x55555555aeb0 1 3 9
0x55555555aeb9 1 2 8
0x55555556589f 0 5 16
0x555555569b10 5 4 13
0x55555555ea19 0 7 26
0x555555569b1d 5 4 10
0x555555559a77 1 2 8
0x555555559a6b 1 2 12
0x555555559a1c 0 6 33
0x555555559a13 1 2 9
0x555555559f3a 1 6 26
0x555555559f31 1 2 9
0x55555555aec1 1 12 39
0x555555559d1d 1 2 14
0x555555559d2b 1 3 16
0x555555559d3b 1 2 11
0x555555565811 1 3 11
0x5555555657f8 1 5 25
0x5555555657f4 1 2 4
0x5555555657e4 1 5 16
0x5555555657d0 2 4 20
0x5555555657cc 2 2 4
0x5555555657a7 1 10 37
0x555555565932 1 3 13
0x555555559e7c 1 2 13
0x555555559e89 1 4 25
0x555555559ea2 1 2 13
0x555555559eaf 1 2 13
0x555555559ebc 1 2 12
0x555555559aaa 1 4 26
0x555555559ac4 1 2 13
0x555555559ad1 1 5 31
0x555555559af0 1 4 26
0x555555565916 1 7 28
0x55555555af70 2 3 11
0x55555555af7b 0 6 25
0x55555555af9d 2 15 127
0x555555559b0a 1 2 9
0x555555559b13 0 7 29
